ID,x,y,Ru,Rh,Pd,Ir,Pt,Resistance
171,13500,0,0.132918627,0.162160725,0.17811096,0.252545392,0.160388477,0.57494749
172,18000,0,0.119301236,0.161056668,0.179804005,0.246271836,0.145717938,0.582766747
173,22500,0,0.099302421,0.135412392,0.184653262,0.26754206,0.13377103,0.586962527
174,27000,0,0.097348635,0.125840918,0.183616937,0.265136526,0.1195093,0.595034923
175,31500,0,0.083365201,0.107839388,0.193499044,0.273040153,0.106309751,0.602962227
176,36000,0,0.073143702,0.090875508,0.191355744,0.279275951,0.104174363,0.611177947
177,40500,0,0.065784769,0.090096532,0.187343582,0.281730425,0.090096532,0.620943587
178,45000,0,0.058231832,0.079028915,0.188560218,0.284920035,0.081801859,0.637610127
179,-45000,4500,0.557301844,0.531815479,0.113839096,0.146121825,0.350012743,0.527089163
180,-40500,4500,0.475950325,0.507470214,0.108743617,0.146567484,0.338838807,0.52647294
181,-36000,4500,0.433295997,0.465719507,0.094322938,0.160643754,0.319813712,0.527529237
182,-31500,4500,0.39943609,0.391143299,0.121627598,0.163091552,0.30683326,0.52928908
183,-27000,4500,0.350027976,0.370847484,0.134025582,0.163953625,0.282364576,0.532229203
184,-22500,4500,0.315523253,0.33271129,0.138732014,0.169424937,0.27255316,0.535826647
185,-18000,4500,0.280389054,0.303657856,0.139612807,0.179169769,0.261774013,0.539960363
186,-13500,4500,0.255669555,0.275591858,0.149417273,0.183727906,0.24238802,0.544221393
187,-9000,4500,0.236961833,0.245387143,0.149549246,0.194835285,0.22748336,0.549356253
188,-4500,4500,0.205332609,0.226469789,0.156012521,0.200299947,0.21841753,0.55351487
189,0,4500,0.1858396,0.206060489,0.157915515,0.209912087,0.203171791,0.559009113
190,4500,4500,0.164294549,0.186446623,0.167063558,0.217828728,0.187369626,0.564783993
191,9000,4500,0.147864814,0.165573175,0.17265652,0.224896185,0.175312774,0.569852507
192,13500,4500,0.134649145,0.141466823,0.174703005,0.23180106,0.169589746,0.575177023
193,18000,4500,0.11562969,0.140231751,0.181235188,0.232079448,0.151712714,0.580423627
194,22500,4500,0.099729306,0.115559355,0.183628564,0.249323265,0.14326194,0.587968173
195,27000,4500,0.089420828,0.113877807,0.185720182,0.246098348,0.129163418,0.595739393
196,31500,4500,0.081953899,0.103365278,0.184580854,0.252506608,0.1166551,0.60335251
197,36000,4500,0.074317565,0.082178076,0.195798199,0.253680149,0.109332571,0.61201031
198,40500,4500,0.062352346,0.084522069,0.194677881,0.257723031,0.093528519,0.622044247
199,45000,4500,0.055764205,0.071888794,0.196182503,0.265383866,0.08263852,0.640483267
200,-45000,9000,0.516131069,0.448260623,0.126270598,0.137319275,0.350400909,0.53125372
201,-40500,9000,0.456211093,0.425306471,0.120675192,0.136863328,0.334064252,0.52931708
202,-36000,9000,0.417403804,0.388379036,0.110570544,0.146505971,0.319272446,0.530259977
203,-31500,9000,0.368715229,0.3504749,0.128985186,0.145922635,0.307479838,0.53165804
204,-27000,9000,0.337622158,0.322889555,0.122771694,0.151009183,0.294652065,0.53367942
205,-22500,9000,0.305981176,0.302490896,0.124486638,0.151245448,0.280385792,0.537910487
206,-18000,9000,0.280009739,0.264515129,0.12949067,0.167120437,0.265621887,0.541122437
207,-13500,9000,0.249857676,0.241423662,0.138106985,0.16446328,0.260400194,0.544668713
208,-9000,9000,0.225460987,0.223447943,0.144939206,0.173121829,0.239552299,0.550340963
209,-4500,9000,0.199320193,0.209912087,0.151175219,0.180062203,0.222429781,0.554006563
210,0,9000,0.182736057,0.188273513,0.154125866,0.184581876,0.213192067,0.558778133
211,4500,9000,0.157739889,0.159512247,0.168374038,0.19761795,0.202935025,0.56390248
212,9000,9000,0.139643398,0.151564176,0.173702764,0.202653225,0.184772058,0.568684987
213,13500,9000,0.124750704,0.1362409,0.179739501,0.210106448,0.169890761,0.573830657
214,18000,9000,0.115559355,0.124265881,0.173339032,0.218454671,0.159883491,0.580035283
215,22500,9000,0.094770068,0.113876936,0.184190213,0.224696774,0.14674075,0.586533953
216,27000,9000,0.084169491,0.100412726,0.187535532,0.231835264,0.135114183,0.59409116
217,31500,9000,0.080804903,0.095821743,0.181632259,0.234548744,0.122279985,0.602094717
218,36000,9000,0.067894307,0.075515096,0.194676532,0.23970847,0.115004642,0.610852287
219,40500,9000,0.065213153,0.069919257,0.193622557,0.238666694,0.104206585,0.621141017
220,45000,9000,0.059344085,0.067169678,0.193683442,0.241941269,0.089994326,0.6441825
221,-45000,13500,0.484871708,0.402340353,0.100216645,0.125270806,0.361074676,0.5371282
222,-40500,13500,0.440303658,0.372670807,0.107660455,0.129744651,0.33126294,0.517630283
223,-36000,13500,0.392978438,0.340928314,0.118414033,0.132727817,0.316204505,0.532677007
224,-31500,13500,0.350773548,0.321234723,0.115693732,0.132924713,0.308926879,0.534026787
225,-27000,13500,0.329257368,0.266430873,0.137287524,0.134960617,0.296680667,0.536024897
226,-22500,13500,0.286659805,0.27116468,0.122854202,0.140562916,0.28555301,0.539740783
227,-18000,13500,0.266728517,0.236154892,0.128620075,0.149705334,0.273054094,0.542577983
228,-13500,13500,0.24358084,0.217410997,0.1429276,0.147960262,0.254652696,0.546523097
229,-9000,13500,0.211839926,0.19354466,0.153102492,0.161768671,0.242653006,0.550761947
230,-4500,13500,0.188276989,0.183662357,0.148591153,0.174433092,0.227962825,0.55481909
231,0,13500,0.17013735,0.164820558,0.157731502,0.180770935,0.212671688,0.559537117
232,4500,13500,0.152679569,0.149267735,0.166326905,0.184239033,0.199592286,0.56411452
233,9000,13500,0.138707639,0.132962352,0.168254828,0.187952954,0.192877486,0.569075397
234,13500,13500,0.122588758,0.124961444,0.167669785,0.193769328,0.182696795,0.573872333
235,18000,13500,0.109211159,0.106920016,0.181764028,0.200093173,0.166489739,0.5805177
236,22500,13500,0.093767766,0.093767766,0.192703834,0.206732083,0.152095746,0.586548577
237,27000,13500,0.082892076,0.093610879,0.186507171,0.213661472,0.138629851,0.594628447
238,31500,13500,0.074822815,0.083136462,0.189828254,0.218926015,0.1260903,0.601971033
239,36000,13500,0.067858103,0.068529965,0.193496372,0.222386455,0.119591508,0.610788737
240,40500,13500,0.061302082,0.061302082,0.192384194,0.229556734,0.107604719,0.621963503
241,45000,13500,0.050652146,0.053184754,0.198809675,0.231100418,0.100037989,0.672478663
242,-40500,18000,0.417148575,0.322283011,0.09746462,0.116957544,0.346974048,0.53721659
243,-36000,18000,0.3769091,0.292196631,0.110494524,0.12031626,0.329028139,0.536344383
244,-31500,18000,0.331962774,0.277218035,0.116478166,0.122302074,0.316820612,0.538885
245,-27000,18000,0.305471932,0.252346379,0.119532495,0.128386754,0.301044803,0.539200167
246,-22500,18000,0.277563771,0.226905744,0.137198822,0.130866569,0.281785273,0.542675543
247,-18000,18000,0.260421904,0.211152895,0.133730167,0.136746637,0.264443863,0.544358013
248,-13500,18000,0.22457182,0.187946373,0.14168265,0.14553796,0.263124922,0.548025527
249,-9000,18000,0.211346248,0.162432051,0.155048776,0.145819682,0.248262623,0.55892047
250,-4500,18000,0.181653848,0.160387056,0.150639776,0.15684259,0.23659306,0.555788767
251,0,18000,0.162755424,0.143156603,0.157642688,0.163607546,0.224960376,0.560457867
252,4500,18000,0.14691278,0.131318686,0.167431324,0.162506874,0.212572123,0.56444723
253,9000,18000,0.134661998,0.110105987,0.176644857,0.173476339,0.196448092,0.569157677
254,13500,18000,0.110055563,0.111584112,0.17884029,0.181133114,0.182661663,0.57381415
255,18000,18000,0.107795219,0.095243721,0.177935943,0.186795824,0.171291032,0.579469447
256,22500,18000,0.091531217,0.08151999,0.186637872,0.195218924,0.16017963,0.586057107
257,27000,18000,0.07967189,0.076207895,0.185670145,0.197447728,0.153801388,0.594062797
258,31500,18000,0.075970983,0.073281745,0.188246684,0.200348256,0.133789607,0.601852057
259,36000,18000,0.061341286,0.066561821,0.196422628,0.203600864,0.123987706,0.61114444
260,40500,18000,0.06141495,0.062048094,0.196907726,0.20260602,0.110800167,0.624385607
261,-40500,22500,0.39210866,0.27779485,0.102022002,0.108167906,0.349087333,0.538255683
262,-36000,22500,0.362238658,0.257410751,0.105992662,0.109486926,0.329625531,0.54003847
263,-31500,22500,0.324272876,0.227987073,0.113993537,0.113993537,0.326486343,0.540993923
264,-27000,22500,0.289913131,0.209791684,0.12334486,0.1212364,0.309943493,0.61883365
265,-22500,22500,0.268730625,0.199283385,0.125810218,0.121784291,0.290873224,0.544275847
266,-18000,22500,0.243606532,0.187759975,0.13287629,0.122284702,0.276344169,0.546660917
267,-13500,22500,0.221492119,0.165196205,0.13750969,0.13012662,0.268559194,0.54986844
268,-9000,22500,0.195826503,0.150635772,0.141774844,0.140002658,0.257852997,0.552824697
269,-4500,22500,0.1787934,0.138777734,0.150697294,0.14303472,0.240945391,0.557322913
270,0,22500,0.155229765,0.12566219,0.164264301,0.150301836,0.225042093,0.592957313
271,4500,22500,0.146426791,0.116349936,0.161465218,0.150384271,0.216869949,0.56562919
272,9000,22500,0.13069198,0.096299353,0.171198851,0.162027484,0.204062916,0.56919738
273,13500,22500,0.114440129,0.094505397,0.174244326,0.167599415,0.188272471,0.574357337
274,18000,22500,0.1022568,0.081519407,0.179485713,0.173765052,0.178055548,0.579973357
275,22500,22500,0.093527871,0.074129498,0.184284546,0.178049355,0.162807776,0.588003653
276,27000,22500,0.080621863,0.066513037,0.188117681,0.184086588,0.152509691,0.59374751
277,31500,22500,0.069081027,0.05930541,0.197467463,0.181826476,0.144679132,0.6024481
278,36000,22500,0.064621584,0.05258423,0.19766602,0.188796391,0.129876712,0.612523697
279,40500,22500,0.052358278,0.04804642,0.203273316,0.192801661,0.119500071,0.62837319
280,-36000,27000,0.340877649,0.211388412,0.110674561,0.105140833,0.338664158,0.548681817
281,-31500,27000,0.314163724,0.206631174,0.112803753,0.104369828,0.316272205,0.545884093
282,-27000,27000,0.278523524,0.189034016,0.12166551,0.108594009,0.308688526,0.545367337
283,-22500,27000,0.259017467,0.175246018,0.123249947,0.107843704,0.297533075,0.547375273
284,-18000,27000,0.236262621,0.157816047,0.129206121,0.117208409,0.282407664,0.549127953
285,-13500,27000,0.211774296,0.145317927,0.142659673,0.119621465,0.266711562,0.552795203
286,-9000,27000,0.195132758,0.13548519,0.139745731,0.126112001,0.255632435,0.555294883
287,-4500,27000,0.165906944,0.121555583,0.158515051,0.132232763,0.242289844,0.558674057
288,0,27000,0.147878692,0.114665296,0.156577439,0.13680756,0.235656953,0.56260731
289,4500,27000,0.145102412,0.105390173,0.158085259,0.138992837,0.216889921,0.566296087
290,9000,27000,0.126252372,0.094504699,0.166121542,0.145448639,0.20672903,0.5706823
291,13500,27000,0.102256069,0.086524366,0.17662412,0.153741643,0.19593121,0.5750629
292,18000,27000,0.096230399,0.075461248,0.183460833,0.155076327,0.182768528,0.580564713
293,22500,27000,0.08196446,0.065840304,0.193489872,0.159226041,0.171319158,0.587517773
294,27000,27000,0.079560202,0.063256882,0.188466379,0.163685333,0.157164005,0.594826473
295,31500,27000,0.070322151,0.055117362,0.191960468,0.16851975,0.147613165,0.60531677
296,36000,27000,0.06282916,0.050509717,0.191567341,0.174320121,0.136745819,0.618766777
297,-31500,31500,0.294902119,0.175129586,0.116753057,0.098636204,0.321070907,0.550583697
298,-27000,31500,0.267938895,0.172521806,0.113729459,0.095417088,0.313237916,0.55566839
299,-22500,31500,0.244561957,0.155965927,0.123665292,0.106130661,0.292551473,0.550754013
300,-18000,31500,0.2232934,0.141773588,0.127596229,0.10987453,0.283547175,0.552522173
301,-13500,31500,0.209618596,0.13122465,0.13548519,0.105661406,0.270118273,0.55412084
302,-9000,31500,0.184491255,0.112334675,0.152512771,0.113154636,0.258287757,0.55697454
303,-4500,31500,0.166064354,0.113081917,0.144713223,0.119408178,0.248305748,0.56042306
304,0,31500,0.149133876,0.095598639,0.161370502,0.126954992,0.230966311,0.564051797
305,4500,31500,0.13447216,0.086446388,0.162548765,0.132994444,0.222396264,0.567726147
306,9000,31500,0.113698121,0.07937416,0.172334887,0.137295844,0.212379509,0.571736557
307,13500,31500,0.102460435,0.074076125,0.182074962,0.138460047,0.195920967,0.57643673
308,18000,31500,0.088010427,0.072558215,0.180723701,0.142429088,0.18811389,0.58041118
309,22500,31500,0.079506797,0.065821201,0.187036482,0.145327998,0.174654276,0.58857174
310,27000,31500,0.076657966,0.054484174,0.184992778,0.151415321,0.16598667,0.596440367
311,31500,31500,0.070133993,0.0529081,0.190100033,0.153802616,0.149496143,0.624534967
312,-27000,36000,0.258169211,0.147525264,0.114332079,0.094047356,0.308881021,0.5562014
313,-22500,36000,0.232362201,0.12948428,0.125936766,0.094896013,0.303312492,0.55500097
314,-18000,36000,0.216253033,0.113234856,0.126857094,0.102166787,0.293729513,0.557233967
315,-13500,36000,0.189571126,0.114070937,0.138690564,0.106685049,0.271636549,0.557210843
316,-9000,36000,0.167781251,0.108424677,0.148787147,0.106050414,0.260377508,0.559488907
317,-4500,36000,0.159074918,0.092538775,0.151427086,0.109364006,0.251613693,0.56265387
318,0,36000,0.14047436,0.091678003,0.157479151,0.113858165,0.235109718,0.56581911
319,4500,36000,0.125856324,0.079375295,0.156605312,0.123711045,0.229544772,0.569575053
320,9000,36000,0.109460733,0.072050103,0.169040625,0.127473258,0.214764729,0.573513593
321,13500,36000,0.099365538,0.06512471,0.178589412,0.1255497,0.203430797,0.578141303
322,18000,36000,0.088095378,0.054814902,0.181411223,0.135079579,0.192504715,0.583781123
323,22500,36000,0.077876196,0.056982582,0.183610543,0.134858778,0.180444844,0.59003452
324,27000,36000,0.070836798,0.044965968,0.190335397,0.13982568,0.170008316,0.603074773
325,-22500,40500,0.219001116,0.114187352,0.126969519,0.085214442,0.306771992,0.56233932
326,-18000,40500,0.208449595,0.108328136,0.126382825,0.09273545,0.28477169,0.560260707
327,-13500,40500,0.18440693,0.098930756,0.133754383,0.094973526,0.279380456,0.561085497
328,-9000,40500,0.170294005,0.090110729,0.136693394,0.099274532,0.268041237,0.56284137
329,-4500,40500,0.155153306,0.084226081,0.144809752,0.101219062,0.253417067,0.5658076
330,0,40500,0.138005992,0.074365923,0.153022188,0.107258543,0.242404308,0.568951207
331,4500,40500,0.117778286,0.06443165,0.170432108,0.111542965,0.228628437,0.572699253
332,9000,40500,0.104811943,0.069202757,0.167295986,0.1128744,0.217686344,0.576281897
333,13500,40500,0.093256815,0.0586931,0.172818573,0.116734055,0.210643016,0.581356053
334,18000,40500,0.086742899,0.055084907,0.179184237,0.120933531,0.191847434,0.588151547
335,22500,40500,0.078847836,0.054207887,0.181719622,0.123199744,0.17802363,0.601366023
336,-13500,45000,0.179593584,0.08100817,0.135268359,0.090178906,0.278178997,0.57093266
337,-9000,45000,0.163158633,0.078995356,0.139533854,0.087854649,0.26947014,0.570460793
338,-4500,45000,0.146584579,0.07436486,0.145869533,0.097246355,0.250981402,0.57150768
339,0,45000,0.124696917,0.070661586,0.155871147,0.096986491,0.24454451,0.57438961
340,4500,45000,0.118247783,0.06718624,0.161918839,0.095404461,0.229105079,0.58295312
341,9000,45000,0.101735371,0.058041333,0.163689603,0.10434397,0.224339535,0.58020565
342,13500,45000,0.09186518,0.058286873,0.171059301,0.107070451,0.205271161,0.594733303
