ID,x,y,Ag,Au,Cu,Pd,Pt,Resistance
1,-22500,-40500,0.24059999999999998,0.4119,0.0987,0.19030000000000002,0.058499999999999996,0.4614830366666667
2,-18000,-40500,0.22170000000000004,0.40120000000000006,0.10480000000000002,0.21880000000000002,0.053500000000000006,0.4598431466666666
3,-13500,-40500,0.20970000000000003,0.38120000000000004,0.11420000000000001,0.23550000000000004,0.059400000000000015,0.4836875533333333
4,-9000,-40500,0.20129999999999998,0.3625,0.1241,0.2546,0.0575,0.5115419566666667
5,-4500,-40500,0.1818,0.3443,0.1273,0.2882,0.0584,0.5429837200000001
6,0,-40500,0.1652,0.33190000000000003,0.13190000000000002,0.31460000000000005,0.056400000000000006,0.57760004
7,4500,-40500,0.15821582158215822,0.3071307130713072,0.1427142714271427,0.3345334533453346,0.05740574057405741,0.6148180466666666
8,9000,-40500,0.1447,0.2894,0.1508,0.3613,0.0538,0.6544956000000001
9,13500,-40500,0.1275872412758724,0.26707329267073293,0.15478452154784522,0.3938606139386061,0.0566943305669433,0.69472526
10,18000,-40500,0.12179999999999999,0.24600000000000002,0.1612,0.415,0.055999999999999994,0.7370675766666667
11,22500,-40500,0.1119,0.2234,0.1759,0.436,0.0528,0.78565233
12,-27000,-36000,0.26739999999999997,0.40700000000000003,0.09609999999999999,0.1707,0.0588,0.42590644
13,-22500,-36000,0.25440000000000007,0.39690000000000003,0.09740000000000001,0.18680000000000002,0.06450000000000002,0.4451298566666667
14,-18000,-36000,0.23597640235976403,0.37566243375662434,0.1131886811318868,0.2131786821317868,0.061993800619938005,0.4672731966666666
15,-13500,-36000,0.217021702170217,0.3659365936593659,0.1199119911991199,0.2348234823482348,0.06230623062306231,0.4919465166666666
16,-9000,-36000,0.21332133213321328,0.3428342834283428,0.12321232123212321,0.2584258425842584,0.0622062206220622,0.5197937066666667
17,-4500,-36000,0.1923,0.3331,0.1353,0.27440000000000003,0.0649,0.55073449
18,0,-36000,0.1775,0.313,0.1393,0.3036,0.0666,0.5836647066666667
19,4500,-36000,0.1607,0.2924,0.1492,0.332,0.06570000000000001,0.6198232066666667
20,9000,-36000,0.1551,0.2687,0.16899999999999998,0.3436,0.0636,0.6575843633333334
21,13500,-36000,0.1402,0.2504,0.17579999999999998,0.37329999999999997,0.0603,0.6964090433333333
22,18000,-36000,0.13071307130713072,0.23262326232623265,0.1758175817581758,0.39923992399239927,0.06160616061606161,0.7352019066666667
23,22500,-36000,0.12198780121987801,0.21047895210478954,0.18988101189881013,0.41925807419258077,0.05839416058394161,0.76897572
24,27000,-36000,0.11109999999999998,0.18839999999999998,0.2001,0.44279999999999997,0.05759999999999999,0.8037261033333334
25,-31500,-31500,0.2943,0.3948,0.0946,0.147,0.0693,0.4181290066666667
26,-27000,-31500,0.2843,0.386,0.0986,0.1623,0.0688,0.4342806566666667
27,-22500,-31500,0.26522652265226526,0.36903690369036907,0.10681068106810682,0.18731873187318734,0.07160716071607161,0.4545495033333333
28,-18000,-31500,0.2443,0.3712,0.1127,0.19899999999999998,0.0728,0.47699065
29,-13500,-31500,0.23129999999999998,0.34979999999999994,0.12269999999999999,0.2214,0.0748,0.5020504366666666
30,-9000,-31500,0.2181,0.33020000000000005,0.1331,0.2463,0.0723,0.52755705
31,-4500,-31500,0.1961,0.3156,0.13949999999999999,0.2732,0.0756,0.5580982066666667
32,0,-31500,0.1814,0.2945,0.1551,0.2977,0.0713,0.5911771033333333
33,4500,-31500,0.17190000000000003,0.2767,0.15990000000000001,0.3177,0.0738,0.6261448233333333
34,9000,-31500,0.1595159515951595,0.2584258425842584,0.1679167916791679,0.3434343434343434,0.0707070707070707,0.66240356
35,13500,-31500,0.1470852914708529,0.2365763423657634,0.17708229177082288,0.36746325367463245,0.0717928207179282,0.6987749266666667
36,18000,-31500,0.1333,0.2173,0.1937,0.3883,0.0674,0.7335239466666666
37,22500,-31500,0.1231,0.20489999999999997,0.1917,0.41369999999999996,0.0666,0.7655855933333334
38,27000,-31500,0.1094,0.1814,0.20550000000000002,0.4336,0.0701,0.79398965
39,31500,-31500,0.10400000000000001,0.1663,0.2127,0.4517,0.0653,0.8214731666666667
40,-36000,-27000,0.3241,0.3844,0.09100000000000001,0.1264,0.07410000000000001,0.4070815633333333
41,-31500,-27000,0.31020000000000003,0.3791,0.09080000000000002,0.14440000000000003,0.07550000000000001,0.42420068
42,-27000,-27000,0.29042904290429045,0.36133613361336137,0.1036103610361036,0.16411641164116414,0.08050805080508051,0.4435704333333333
43,-22500,-27000,0.27147285271472854,0.3521647835216479,0.11668833116688332,0.17598240175982405,0.0836916308369163,0.4647226699999999
44,-18000,-27000,0.2531746825317468,0.34736526347365265,0.1210878912108789,0.1980801919808019,0.0802919708029197,0.4874448433333333
45,-13500,-27000,0.23729999999999998,0.3328,0.13699999999999998,0.21339999999999998,0.07949999999999999,0.5131178433333333
46,-9000,-27000,0.22477752224777525,0.31506849315068497,0.13458654134586542,0.24397560243975602,0.08159184081591841,0.5404466400000001
47,-4500,-27000,0.20540000000000003,0.30060000000000003,0.15270000000000003,0.26170000000000004,0.0796,0.5704172766666668
48,0,-27000,0.19340000000000002,0.28180000000000005,0.15600000000000003,0.2861,0.08270000000000001,0.60243216
49,4500,-27000,0.1773,0.26280000000000003,0.1674,0.31329999999999997,0.07919999999999999,0.6356559033333333
50,9000,-27000,0.15990000000000001,0.2439,0.17559999999999998,0.34149999999999997,0.0791,0.6701988033333334
51,13500,-27000,0.14598540145985403,0.22527747225277475,0.18968103189681032,0.36086391360863923,0.07819218078192182,0.7046247999999999
52,18000,-27000,0.1324,0.21109999999999998,0.2028,0.3759,0.07780000000000001,0.7370098433333333
53,22500,-27000,0.12990000000000002,0.18899999999999997,0.2161,0.39130000000000004,0.0737,0.7674946366666667
54,27000,-27000,0.111,0.17620000000000002,0.2159,0.42719999999999997,0.0697,0.7919600466666666
55,31500,-27000,0.105,0.1559,0.23309999999999997,0.4353,0.0707,0.8138569400000001
56,36000,-27000,0.0901,0.14300000000000002,0.2353,0.4656,0.066,0.83699622
57,-40500,-22500,0.3496000000000001,0.37050000000000005,0.08470000000000003,0.11580000000000001,0.07940000000000001,0.4018708166666666
58,-36000,-22500,0.3331333133313331,0.3645364536453645,0.0932093209320932,0.1234123412341234,0.0857085708570857,0.4174158366666666
59,-31500,-22500,0.3161,0.35869999999999996,0.107,0.1331,0.0851,0.4359964933333333
60,-27000,-22500,0.2964,0.3468,0.1131,0.158,0.0857,0.4562859466666667
61,-22500,-22500,0.28019999999999995,0.33729999999999993,0.12209999999999999,0.17309999999999998,0.08729999999999999,0.47784049
62,-18000,-22500,0.26052605260526046,0.3290329032903289,0.1282128212821282,0.18961896189618957,0.09260926092609259,0.5013174033333333
63,-13500,-22500,0.24257574242575744,0.31886811318868113,0.13638636136386362,0.2110788921107889,0.0910908909109089,0.52727734
64,-9000,-22500,0.23352335233523355,0.2976297629762977,0.14351435143514352,0.23142314231423144,0.09390939093909392,0.5549680633333334
65,-4500,-22500,0.2107,0.2844,0.16219999999999998,0.2493,0.0934,0.5837257266666668
66,0,-22500,0.19260000000000002,0.26539999999999997,0.165,0.2845,0.0925,0.6151482966666666
67,4500,-22500,0.1751824817518248,0.2512748725127487,0.1862813718628137,0.296970302969703,0.0902909709029097,0.6474606566666666
68,9000,-22500,0.16800000000000004,0.23220000000000002,0.1872,0.3215,0.0911,0.6799737233333333
69,13500,-22500,0.15360000000000001,0.21300000000000005,0.20000000000000004,0.34790000000000004,0.08550000000000002,0.7121591066666667
70,18000,-22500,0.132,0.1956,0.21530000000000002,0.3699,0.0872,0.7420003866666666
71,22500,-22500,0.1316868313168683,0.1788821117888211,0.2231776822317768,0.3842615738426157,0.081991800819918,0.7691117933333333
72,27000,-22500,0.11539999999999999,0.1663,0.2288,0.4122,0.07730000000000001,0.7921692033333334
73,31500,-22500,0.10859999999999999,0.1514,0.23329999999999998,0.43200000000000005,0.0747,0.81079231
74,36000,-22500,0.09929999999999999,0.1319,0.2541,0.44239999999999996,0.07229999999999999,0.82829429
75,40500,-22500,0.0858,0.121,0.2615,0.46340000000000003,0.0683,0.85852261
76,-40500,-18000,0.35713571357135715,0.35323532353235326,0.09470947094709473,0.1029102910291029,0.092009200920092,0.41311941
77,-36000,-18000,0.3420342034203421,0.3497349734973497,0.0927092709270927,0.12301230123012302,0.09250925092509252,0.4307355133333333
78,-31500,-18000,0.3298,0.3385,0.102,0.1325,0.09720000000000001,0.45016741
79,-27000,-18000,0.309,0.32799999999999996,0.11380000000000001,0.1471,0.10210000000000001,0.4709375366666666
80,-22500,-18000,0.2901000000000001,0.31210000000000004,0.1282,0.1699,0.09970000000000002,0.49292346
81,-18000,-18000,0.2744,0.30649999999999994,0.13529999999999998,0.1798,0.104,0.5170824366666666
82,-13500,-18000,0.25387461253874616,0.29327067293270676,0.13888611138886114,0.20657934206579345,0.10738926107389263,0.5430193600000001
83,-9000,-18000,0.2395,0.27949999999999997,0.15259999999999999,0.2253,0.10310000000000001,0.5700686
84,-4500,-18000,0.2147,0.2703,0.1637,0.2455,0.1058,0.5988638966666666
85,0,-18000,0.20137986201379862,0.2578742125787421,0.1735826417358264,0.26907309269073093,0.09809019098090191,0.6292303
86,4500,-18000,0.18881888188818885,0.23502350235023506,0.18741874187418744,0.2888288828882889,0.09990999099909993,0.6596481233333333
87,9000,-18000,0.1713171317131713,0.21722172217221722,0.2011201120112011,0.3104310431043104,0.09990999099909992,0.69046099
88,13500,-18000,0.1587,0.20280000000000004,0.2106,0.33190000000000003,0.09600000000000002,0.7205553866666666
89,18000,-18000,0.1446,0.18600000000000003,0.22469999999999998,0.3531,0.0916,0.7473824133333333
90,22500,-18000,0.1281,0.17149999999999999,0.2289,0.3825,0.08900000000000001,0.7718121833333333
91,27000,-18000,0.1173,0.1558,0.2421,0.39890000000000003,0.0859,0.7926791933333334
92,31500,-18000,0.10859999999999999,0.1363,0.2548,0.41609999999999997,0.0842,0.8092836899999999
93,36000,-18000,0.0981,0.1273,0.2605,0.43560000000000004,0.0785,0.82349522
94,40500,-18000,0.08850885088508852,0.11401140114011402,0.27272727272727276,0.44974497449744977,0.075007500750075,0.8378129133333334
95,-45000,-13500,0.3857999999999999,0.3313,0.09129999999999999,0.0921,0.09949999999999998,0.41107799
96,-40500,-13500,0.3694369436943694,0.33323332333233324,0.09530953095309531,0.10391039103910392,0.09810981098109813,0.4270606066666666
97,-36000,-13500,0.351035103510351,0.3283328332833283,0.099009900990099,0.11561156115611561,0.106010601060106,0.4454779666666666
98,-31500,-13500,0.3307,0.3179,0.1118,0.1281,0.1115,0.4657433033333333
99,-27000,-13500,0.31579999999999997,0.30920000000000003,0.1278,0.13949999999999999,0.10769999999999999,0.48741279
100,-22500,-13500,0.3005,0.29749999999999993,0.13319999999999999,0.1571,0.11169999999999998,0.50993727
101,-18000,-13500,0.27290000000000003,0.28730000000000006,0.14210000000000003,0.18170000000000006,0.11600000000000002,0.5343600133333334
102,-13500,-13500,0.2683,0.2734,0.1522,0.1913,0.1148,0.5603377599999999
103,-9000,-13500,0.2366236623662366,0.2648264826482648,0.1606160616061606,0.2203220322032203,0.1176117611761176,0.58776119
104,-4500,-13500,0.2215221522152215,0.2524252425242524,0.17301730173017305,0.23802380238023804,0.11501150115011502,0.6156823666666666
105,0,-13500,0.20357964203579643,0.23597640235976405,0.1857814218578142,0.26217378262173785,0.11248875112488751,0.6441863466666666
106,4500,-13500,0.1858,0.2232,0.2076,0.27440000000000003,0.109,0.6735740733333333
107,9000,-13500,0.17598240175982405,0.20437956204379565,0.20627937206279373,0.30266973302669736,0.11068893110688932,0.7026752666666667
108,13500,-13500,0.16219999999999998,0.18899999999999997,0.2211,0.3212,0.1065,0.7295459333333334
109,18000,-13500,0.1425,0.1743,0.2408,0.3392,0.1032,0.75488416
110,22500,-13500,0.1328,0.1572,0.251,0.36229999999999996,0.0967,0.7765480433333334
111,27000,-13500,0.1137886211378862,0.14748525147485247,0.26297370262973696,0.37986201379862006,0.09589041095890409,0.7949926633333334
112,31500,-13500,0.10858914108589142,0.131986801319868,0.26717328267173285,0.40045995400459955,0.09179082091790822,0.8094478066666666
113,36000,-13500,0.0997099709970997,0.11901190119011901,0.2731273127312731,0.42024202420242024,0.08790879087908789,0.8204712066666667
114,40500,-13500,0.0928,0.1072,0.2816,0.4389,0.0795,0.83000372
115,45000,-13500,0.08200820082008199,0.0958095809580958,0.2981298129812981,0.4461446144614461,0.0779077907790779,0.8825295866666667
116,-45000,-9000,0.3937393739373937,0.31563156315631563,0.09400940094009402,0.08580858085808582,0.11081108110811082,0.42511357
117,-40500,-9000,0.37689999999999996,0.312,0.0992,0.0984,0.11349999999999999,0.4432893233333333
118,-36000,-9000,0.3599,0.3059,0.098,0.1173,0.1189,0.46228082
119,-31500,-9000,0.34299999999999997,0.2965,0.1161,0.127,0.1174,0.4836375433333333
120,-27000,-9000,0.32659999999999995,0.2898,0.1233,0.138,0.1223,0.5057542133333334
121,-22500,-9000,0.3016,0.2814,0.14,0.1516,0.12539999999999998,0.5291919166666667
122,-18000,-9000,0.2853,0.2723,0.1548,0.16119999999999998,0.12639999999999998,0.5539741666666667
123,-13500,-9000,0.2669,0.259,0.1628,0.18280000000000002,0.1285,0.5796009533333333
124,-9000,-9000,0.2434,0.2468,0.17149999999999999,0.209,0.1293,0.6062853
125,-4500,-9000,0.23279999999999998,0.23539999999999997,0.1817,0.2287,0.1214,0.63350477
126,0,-9000,0.2121,0.2177,0.20309999999999997,0.2419,0.1252,0.6610618866666667
127,4500,-9000,0.1938,0.20629999999999998,0.2121,0.2651,0.12269999999999999,0.6885382266666666
128,9000,-9000,0.1804,0.1905,0.2245,0.2844,0.1202,0.71540249
129,13500,-9000,0.1593,0.17559999999999998,0.2335,0.3143,0.1173,0.74058359
130,18000,-9000,0.1405,0.1612,0.25329999999999997,0.33159999999999995,0.1134,0.7629524966666666
131,22500,-9000,0.1343,0.1478,0.2515,0.3549,0.1115,0.78164057
132,27000,-9000,0.1228122812281228,0.1315131513151315,0.2736273627362736,0.3627362736273627,0.1093109310931093,0.7970142766666667
133,31500,-9000,0.11320000000000001,0.12279999999999999,0.2799,0.3829,0.1012,0.8099741433333333
134,36000,-9000,0.10259999999999998,0.11249999999999999,0.28879999999999995,0.4013,0.0948,0.8189174833333334
135,40500,-9000,0.09390939093909391,0.10031003100310029,0.303030303030303,0.4146414641464146,0.0881088108810881,0.8262062166666666
136,45000,-9000,0.08800000000000001,0.0913,0.3096,0.42810000000000004,0.083,0.8454726699999999
137,-45000,-4500,0.4014,0.3015,0.08929999999999999,0.08470000000000001,0.1231,0.4422437133333333
138,-40500,-4500,0.386038603860386,0.29742974297429736,0.1018101810181018,0.0915091509150915,0.12321232123212321,0.4614955666666667
139,-36000,-4500,0.36700000000000005,0.2866,0.11109999999999999,0.10640000000000001,0.12890000000000001,0.4821667166666666
140,-31500,-4500,0.3474,0.28259999999999996,0.11729999999999999,0.11619999999999997,0.13649999999999998,0.50403227
141,-27000,-4500,0.3312,0.2741,0.13119999999999998,0.12689999999999999,0.1366,0.5268192233333333
142,-22500,-4500,0.31239999999999996,0.26099999999999995,0.1396,0.14709999999999998,0.13989999999999997,0.5501808
143,-18000,-4500,0.28800000000000003,0.25489999999999996,0.15789999999999998,0.16,0.1392,0.5747233333333334
144,-13500,-4500,0.2692,0.2391,0.16870000000000002,0.18309999999999998,0.1399,0.6004910266666666
145,-9000,-4500,0.2481,0.2347,0.18530000000000002,0.1941,0.1378,0.6267051166666666
146,-4500,-4500,0.23309999999999997,0.21719999999999998,0.1946,0.2155,0.1396,0.65262957
147,0,-4500,0.2121787821217878,0.20527947205279473,0.20757924207579243,0.23617638236176383,0.13878612138786123,0.6794741299999999
148,4500,-4500,0.1961,0.1907,0.2228,0.2546,0.1358,0.7051073033333334
149,9000,-4500,0.1730826917308269,0.17968203179682032,0.23527647235276475,0.2784721527847216,0.13348665133486654,0.7297386833333334
150,13500,-4500,0.162,0.16699999999999998,0.2525,0.2907,0.1278,0.7522072533333334
151,18000,-4500,0.1467,0.15109999999999998,0.2639,0.3122,0.1261,0.7719529933333333
152,22500,-4500,0.1327265453090618,0.1402280456091218,0.2793558711742348,0.3300660132026405,0.11762352470494099,0.7888860433333333
153,27000,-4500,0.11650000000000002,0.12750000000000003,0.28850000000000003,0.3526,0.11490000000000002,0.8017724333333334
154,31500,-4500,0.10831083108310832,0.11721172117211723,0.2954295429542954,0.3698369836983698,0.10921092109210921,0.8109761766666667
155,36000,-4500,0.1001,0.1036,0.30879999999999996,0.3845,0.10300000000000001,0.8180185733333333
156,40500,-4500,0.0948,0.09709999999999999,0.30789999999999995,0.4050999999999999,0.09509999999999999,0.82311574
157,45000,-4500,0.08529147085291469,0.08499150084991501,0.32016798320167983,0.4206579342065793,0.0888911108889111,0.8351822033333334
158,-45000,0,0.41144114411441146,0.27722772277227725,0.09380938093809382,0.0837083708370837,0.13381338133813384,0.4627168633333333
159,-40500,0,0.3896389638963897,0.27682768276827685,0.10721072107210722,0.08910891089108912,0.13721372137213722,0.4824377466666666
160,-36000,0,0.3772622737726227,0.26877312268773124,0.11428857114288572,0.09659034096590342,0.14308569143085692,0.5042007666666667
161,-31500,0,0.3548,0.26350000000000007,0.12050000000000002,0.11350000000000002,0.14770000000000003,0.52658633
162,-27000,0,0.33270000000000005,0.2566,0.1394,0.1222,0.1491,0.5495374466666667
163,-22500,0,0.3176,0.2468,0.1474,0.1386,0.1496,0.5735259500000001
164,-18000,0,0.292970702929707,0.23727627237276272,0.16368363163683633,0.1523847615238476,0.1536846315368463,0.5980380666666666
165,-13500,0,0.278027802780278,0.2245224522452245,0.1748174817481748,0.1694169416941694,0.1532153215321532,0.62287214
166,-9000,0,0.25777422257774224,0.2146785321467853,0.18958104189581043,0.18638136186381363,0.15158484151584842,0.6490631566666667
167,-4500,0,0.23757624237576241,0.19888011198880112,0.20587941205879412,0.20317968203179682,0.1544845515448455,0.67365949
168,0,0,0.2188,0.1911,0.2195,0.2217,0.1489,0.6983921566666667
169,4500,0,0.1941,0.174,0.23600000000000002,0.24739999999999998,0.1485,0.7228601033333334
170,9000,0,0.18038196180381963,0.16448355164483552,0.25047495250474955,0.26077392260773924,0.14388561143885614,0.7451797566666667
