Index,Au,Pd,Pt,Rh
1,24.55,11.21,7.89,56.35
2,26.98,12.07,8.02,52.93
3,29.82,13.28,6.94,49.96
4,32.33,13.75,6.78,47.14
5,35.53,14.26,6.25,43.96
6,37.85,15.18,6.49,40.47
7,40.47,16.36,5.61,37.56
8,43.52,16.9,5.57,34.0
9,44.88,18.74,4.9,31.47
10,47.62,18.96,4.82,28.6
11,49.9,20.89,3.72,25.49
12,23.0,10.95,8.82,57.24
13,25.09,11.85,8.84,54.22
14,27.1,12.78,8.32,51.79
15,29.34,14.42,7.86,48.38
16,32.34,14.98,7.68,45.01
17,34.54,16.12,7.35,41.99
18,37.3,17.02,6.95,38.74
19,39.51,17.62,6.67,36.21
20,42.03,19.07,6.02,32.88
21,45.38,18.51,5.74,30.36
22,46.59,21.09,5.07,27.24
23,49.28,21.88,4.46,24.38
24,50.42,22.64,3.77,23.16
25,20.99,10.37,9.74,58.9
26,23.36,12.55,9.8,54.29
27,25.34,12.69,9.46,52.51
28,27.26,13.9,9.54,49.29
29,29.98,14.76,8.9,46.35
30,31.99,15.62,8.53,43.86
31,35.15,16.2,8.68,39.97
32,36.65,18.14,8.27,36.94
33,39.23,18.71,7.44,34.62
34,42.19,18.9,6.8,32.12
35,44.34,20.46,6.63,28.58
36,46.3,21.47,6.37,25.85
37,48.4,22.7,6.08,22.82
38,49.75,24.27,5.21,20.77
39,51.19,24.72,4.46,19.62
40,19.4,11.31,10.69,58.6
41,21.47,11.35,11.01,56.18
42,23.54,12.69,10.89,52.87
43,24.97,13.46,10.84,50.73
44,27.65,14.0,10.76,47.59
45,29.44,15.74,10.38,44.44
46,32.35,16.8,10.17,40.68
47,34.21,17.73,9.42,38.64
48,37.33,18.73,8.77,35.17
49,39.42,19.81,8.36,32.41
50,41.09,21.31,8.07,29.53
51,43.2,22.49,7.28,27.04
52,44.89,23.73,6.61,24.77
53,47.59,24.35,6.06,22.0
54,49.02,25.49,6.02,19.47
55,50.39,26.15,5.45,18.01
56,52.41,27.03,4.22,16.34
57,17.92,11.2,12.36,58.51
58,19.76,11.51,12.38,56.35
59,21.1,13.05,12.3,53.55
60,22.71,14.58,11.98,50.73
61,24.88,14.74,12.31,48.07
62,27.84,15.37,11.7,45.09
63,29.05,17.53,11.45,41.96
64,31.54,18.23,11.09,39.14
65,33.76,19.22,9.85,37.17
66,36.66,20.62,9.65,33.08
67,38.37,20.91,9.47,31.25
68,41.33,22.69,8.25,27.73
69,43.25,23.27,7.94,25.53
70,43.74,25.47,7.77,23.02
71,47.37,24.7,7.01,20.93
72,47.99,27.33,6.29,18.38
73,49.75,27.35,6.16,16.74
74,51.3,28.98,4.98,14.74
75,52.49,29.88,4.28,13.35
76,17.53,11.26,14.57,56.64
77,18.85,12.46,14.34,54.35
78,20.8,13.69,13.69,51.83
79,23.33,13.87,13.87,48.94
80,24.57,16.04,12.94,46.45
81,27.1,16.68,13.05,43.17
82,29.01,18.06,12.72,40.21
83,31.22,18.59,12.66,37.52
84,34.26,19.93,11.79,34.02
85,35.75,21.11,11.29,31.85
86,38.12,22.06,10.47,29.35
87,40.13,24.52,9.09,26.26
88,41.69,24.82,9.34,24.15
89,43.63,26.54,8.38,21.45
90,45.07,27.51,7.72,19.7
91,46.91,28.51,7.03,17.55
92,48.03,29.05,6.61,16.31
93,49.21,31.01,5.74,14.05
94,50.57,31.65,5.28,12.5
95,15.85,10.6,15.71,57.85
96,17.5,12.33,15.86,54.31
97,19.42,13.35,15.9,51.34
98,20.2,14.84,15.6,49.37
99,22.83,15.18,15.45,46.54
100,24.2,17.46,14.47,43.87
101,26.47,17.59,14.7,41.24
102,28.59,18.94,13.99,38.49
103,30.61,20.11,13.15,36.12
104,32.45,22.0,13.56,31.99
105,35.06,22.29,12.51,30.14
106,37.18,24.44,11.22,27.16
107,38.81,25.21,11.13,24.85
108,40.72,26.31,10.17,22.8
109,42.51,27.53,9.27,20.68
110,43.95,28.6,8.79,18.66
111,45.87,30.09,8.09,15.94
112,47.23,31.3,7.09,14.38
113,47.6,32.28,6.4,13.72
114,48.78,33.15,5.65,12.42
115,50.23,34.05,5.19,10.53
116,15.65,12.33,17.61,54.41
117,17.35,13.2,17.44,52.01
118,18.71,13.82,17.3,50.17
119,20.14,15.97,17.63,46.26
120,22.5,15.68,17.51,44.31
121,23.94,18.07,17.18,40.81
122,26.18,19.19,16.24,38.39
123,27.74,20.43,15.9,35.94
124,30.22,20.76,15.5,33.52
125,31.97,22.57,14.4,31.06
126,34.14,23.78,13.86,28.23
127,35.55,26.05,12.78,25.62
128,37.17,26.74,12.26,23.84
129,39.41,28.19,11.42,20.98
130,41.46,29.2,10.22,19.12
131,42.76,30.28,9.46,17.5
132,44.61,31.74,8.6,15.05
133,45.39,32.86,7.86,13.89
134,46.05,33.54,7.54,12.88
135,47.52,34.85,6.63,11.01
136,47.68,35.36,6.38,10.57
137,16.22,12.63,19.29,51.86
138,16.8,15.11,19.26,48.83
139,18.1,16.02,19.27,46.61
140,20.21,16.36,19.92,43.51
141,22.07,17.12,19.11,41.7
142,23.02,18.37,19.35,39.27
143,26.26,19.01,17.97,36.76
144,27.48,20.9,17.5,34.12
145,29.9,21.99,16.57,31.54
146,31.13,24.24,15.9,28.73
147,33.01,24.82,15.53,26.64
148,35.12,26.59,14.31,23.97
149,36.88,28.04,13.32,21.76
150,37.78,29.73,12.77,19.72
151,39.95,30.52,11.73,17.81
152,41.25,31.78,10.76,16.21
153,43.18,32.96,9.96,13.91
154,44.02,33.75,9.41,12.82
155,44.56,35.56,7.94,11.94
156,46.04,35.93,7.01,11.02
157,47.53,37.18,6.41,8.88
158,15.63,14.49,20.92,48.96
159,16.79,14.03,21.57,47.61
160,17.69,16.63,21.57,44.11
161,19.63,16.7,21.2,42.47
162,20.79,18.52,20.75,39.94
163,22.94,19.02,20.48,37.56
164,24.6,21.25,19.5,34.65
165,26.54,21.87,19.94,31.66
166,28.26,23.4,18.54,29.8
167,29.85,25.12,17.69,27.34
168,31.89,27.06,16.56,24.49
169,34.2,27.9,15.83,22.07
170,35.76,29.06,14.75,20.42
171,37.18,30.39,13.76,18.67
172,38.77,31.94,12.43,16.86
173,40.14,33.2,11.54,15.12
174,41.19,34.39,10.95,13.47
175,42.07,35.46,9.82,12.65
176,43.41,36.56,8.79,11.24
177,44.39,38.03,8.03,9.55
178,45.89,37.96,7.3,8.85
179,15.25,14.88,22.89,46.97
180,16.05,15.25,24.66,44.04
181,17.3,17.01,23.48,42.22
182,18.33,17.69,23.96,40.02
183,20.77,18.69,22.65,37.89
184,22.07,20.38,22.48,35.08
185,23.1,22.2,22.13,32.57
186,25.54,23.73,20.83,29.9
187,27.31,26.1,20.17,26.42
188,29.22,26.68,18.81,25.29
189,31.21,27.46,18.17,23.16
190,32.99,29.67,17.19,20.15
191,34.48,31.21,15.95,18.36
192,36.11,31.96,14.94,16.99
193,37.9,32.99,13.97,15.13
194,38.47,34.95,13.11,13.46
195,39.94,35.61,11.99,12.46
196,41.52,36.45,10.5,11.53
197,41.55,37.99,10.28,10.19
198,41.98,38.69,9.15,10.18
199,43.4,40.22,8.58,7.79
200,14.99,15.27,25.57,44.17
201,15.61,16.57,26.09,41.74
202,16.95,16.52,26.56,39.98
203,18.04,18.36,25.77,37.83
204,19.58,19.81,25.79,34.83
205,21.08,20.71,25.0,33.21
206,23.26,23.37,23.72,29.65
207,24.48,25.21,22.92,27.4
208,26.25,25.46,21.98,26.31
209,29.01,27.26,20.89,22.84
210,29.63,28.8,20.14,21.43
211,30.98,31.26,18.59,19.16
212,33.5,32.04,17.81,16.65
213,34.65,33.65,16.55,15.16
214,35.41,34.51,15.18,14.9
215,36.84,35.58,13.99,13.59
216,38.05,36.99,13.09,11.86
217,39.37,37.98,12.12,10.54
218,40.03,39.44,11.01,9.52
219,41.14,39.98,10.01,8.87
220,41.51,41.35,9.41,7.73
221,14.58,16.47,28.14,40.81
222,15.75,16.18,28.62,39.45
223,16.81,18.83,27.79,36.57
224,18.0,19.17,27.36,35.47
225,18.83,20.5,27.96,32.7
226,20.16,22.96,26.46,30.41
227,22.45,23.24,26.04,28.26
228,23.35,25.46,24.88,26.31
229,25.38,26.42,23.68,24.53
230,26.99,28.96,22.55,21.5
231,29.11,30.03,21.46,19.41
232,29.85,31.34,20.47,18.34
233,31.65,33.2,18.53,16.63
234,32.98,34.39,17.74,14.89
235,34.56,35.59,16.79,13.06
236,35.53,36.7,15.47,12.29
237,36.6,37.87,14.67,10.87
238,37.39,39.26,13.19,10.16
239,38.64,40.72,12.28,8.36
240,39.78,41.58,10.68,7.95
241,40.09,42.46,9.79,7.66
242,15.08,17.59,30.75,36.58
243,16.18,18.51,30.36,34.95
244,17.85,20.53,29.66,31.96
245,17.62,21.8,29.08,31.49
246,19.89,23.19,28.16,28.76
247,21.22,25.12,26.96,26.71
248,22.43,26.8,26.46,24.31
249,24.45,28.43,25.72,21.4
250,25.59,29.43,24.17,20.81
251,27.25,31.12,22.92,18.71
252,28.1,33.15,22.2,16.55
253,29.9,33.52,20.57,16.01
254,31.7,35.37,19.07,13.86
255,32.31,37.51,18.05,12.13
256,34.02,37.77,17.37,10.84
257,34.45,39.43,15.7,10.43
258,35.91,40.92,14.52,8.66
259,37.46,41.51,13.07,7.95
260,37.61,42.95,11.99,7.45
261,14.24,18.25,32.88,34.64
262,14.88,20.55,32.89,31.69
263,16.48,21.15,32.63,29.74
264,17.83,22.64,31.36,28.17
265,19.35,23.46,30.5,26.69
266,20.43,26.44,29.14,23.99
267,21.55,28.14,28.14,22.18
268,23.04,28.98,27.45,20.52
269,24.39,31.19,25.61,18.81
270,25.61,33.06,24.53,16.8
271,27.5,33.43,23.11,15.96
272,28.43,35.27,22.36,13.94
273,29.75,37.13,20.57,12.55
274,31.55,38.1,19.35,11.0
275,31.94,39.23,18.49,10.34
276,33.84,40.35,16.74,9.07
277,34.31,41.42,15.48,8.79
278,35.36,43.37,13.67,7.6
279,36.38,44.08,12.97,6.57
280,14.59,20.58,35.25,29.59
281,16.03,21.24,34.79,27.93
282,16.97,23.33,33.09,26.61
283,18.25,24.66,32.54,24.55
284,18.98,26.76,31.2,23.06
285,20.33,28.28,30.05,21.33
286,21.19,29.97,29.37,19.47
287,23.19,31.45,27.77,17.58
288,24.09,33.33,26.14,16.44
289,25.71,35.46,25.12,13.71
290,27.14,36.93,22.94,12.99
291,28.27,36.78,22.29,12.65
292,28.89,39.62,21.05,10.44
293,30.41,40.5,18.83,10.26
294,31.46,41.92,17.98,8.64
295,32.69,43.22,16.77,7.32
296,33.94,43.58,15.54,6.95
297,15.72,22.25,36.4,25.62
298,15.79,24.39,34.89,24.94
299,17.4,26.04,34.05,22.51
300,18.46,27.39,33.49,20.66
301,19.04,30.33,32.1,18.52
302,20.28,31.38,30.91,17.43
303,22.28,32.4,28.93,16.38
304,22.64,34.13,27.82,15.41
305,24.33,36.33,26.58,12.76
306,24.96,37.71,25.01,12.32
307,26.93,39.17,23.4,10.5
308,28.05,40.29,21.96,9.7
309,29.43,41.03,20.57,8.97
310,29.73,42.94,19.27,8.06
311,30.87,43.82,17.76,7.54
312,14.95,24.88,38.33,21.84
313,16.23,25.92,36.37,21.47
314,17.2,28.07,35.61,19.12
315,18.45,30.67,33.64,17.24
316,19.4,32.5,31.83,16.28
317,20.98,33.76,30.31,14.95
318,21.79,35.39,28.95,13.87
319,22.84,36.86,28.36,11.94
320,23.96,38.97,27.07,10.01
321,25.36,39.27,24.89,10.48
322,26.04,41.51,23.16,9.28
323,27.23,42.27,22.08,8.41
324,27.98,43.3,20.65,8.07
325,15.45,27.48,38.37,18.7
326,15.86,28.54,37.03,18.57
327,16.99,31.18,35.45,16.38
328,18.6,32.15,33.51,15.74
329,19.29,34.63,32.48,13.61
330,20.04,36.6,31.14,12.21
331,21.6,37.74,29.5,11.17
332,22.47,39.4,28.01,10.12
333,22.87,40.7,26.22,10.22
334,24.39,42.09,24.44,9.08
335,25.63,43.96,22.88,7.53
336,16.0,31.61,36.91,15.48
337,16.97,33.69,35.08,14.27
338,17.72,35.21,34.15,12.93
339,18.64,36.79,32.63,11.93
340,19.66,38.69,30.72,10.93
341,21.5,39.79,28.76,9.95
342,21.55,41.7,27.35,9.4
