Index,Au,Pd,Pt,Rh,Ru
1,17.84,8.21,6.45,40.62,26.88
2,19.46,8.67,6.0,39.02,26.85
3,20.72,9.42,6.14,36.69,27.03
4,23.11,9.87,6.17,33.8,27.06
5,24.77,9.99,5.64,31.85,27.75
6,26.82,11.61,5.34,29.06,27.18
7,28.55,12.22,5.09,26.99,27.15
8,31.2,12.36,4.65,24.89,26.91
9,32.4,13.46,4.42,22.5,27.21
10,34.55,13.49,4.31,20.57,27.08
11,36.23,14.57,3.97,18.16,27.06
12,16.73,7.53,7.9,42.66,25.19
13,18.56,8.38,7.12,40.9,25.05
14,19.31,9.95,7.32,38.24,25.19
15,21.62,10.07,6.8,34.95,26.56
16,23.77,10.77,6.66,33.06,25.74
17,25.65,11.8,6.23,30.48,25.84
18,27.17,12.3,6.19,28.05,26.28
19,28.91,13.18,6.07,25.17,26.67
20,30.66,14.21,5.3,24.16,25.68
21,32.29,14.3,4.91,22.26,26.24
22,34.61,14.73,4.83,19.55,26.29
23,36.09,15.22,4.23,18.51,25.95
24,38.0,16.17,3.58,16.69,25.56
25,15.44,8.19,8.7,43.83,23.83
26,17.05,9.22,8.66,41.11,23.96
27,18.21,9.78,8.52,38.48,25.02
28,19.9,10.38,8.03,37.17,24.52
29,22.09,10.89,7.69,34.42,24.9
30,23.46,11.95,7.73,31.9,24.96
31,25.43,12.48,7.44,30.08,24.57
32,28.04,13.0,6.78,27.86,24.33
33,28.9,13.75,6.92,25.33,25.1
34,31.04,14.15,6.31,23.44,25.06
35,32.86,15.51,5.84,21.18,24.6
36,34.86,16.67,5.33,19.12,24.03
37,35.78,17.13,5.18,17.45,24.46
38,38.52,17.62,4.59,15.98,23.28
39,40.09,18.39,4.64,13.84,23.04
40,14.01,8.64,10.01,45.21,22.13
41,15.45,9.55,9.95,42.99,22.05
42,17.28,10.14,9.75,39.38,23.46
43,18.47,10.8,9.38,38.07,23.3
44,20.4,11.08,8.82,35.85,23.85
45,21.8,12.11,9.19,33.08,23.81
46,23.97,12.89,8.68,31.27,23.2
47,25.54,13.36,7.89,29.27,23.93
48,27.71,14.41,7.77,26.66,23.45
49,29.62,15.71,7.15,23.72,23.8
50,30.86,16.04,7.17,22.24,23.69
51,33.41,16.2,6.57,20.27,23.55
52,34.72,17.49,6.45,18.55,22.79
53,35.9,18.48,5.6,16.99,23.03
54,37.1,19.31,5.79,14.83,22.97
55,38.63,20.11,4.8,14.03,22.43
56,41.38,20.3,4.55,12.15,21.63
57,13.06,9.59,11.47,46.19,19.68
58,14.5,10.08,11.77,43.22,20.43
59,16.07,10.0,11.11,41.54,21.28
60,17.32,10.32,10.78,39.65,21.94
61,18.59,11.53,10.77,36.49,22.61
62,20.64,12.02,10.28,34.67,22.39
63,21.58,13.25,10.5,32.25,22.42
64,24.27,13.77,9.55,29.95,22.46
65,25.89,14.11,9.63,27.01,23.36
66,28.05,16.03,8.8,25.0,22.13
67,29.31,16.2,8.27,23.42,22.79
68,31.45,17.09,7.95,20.92,22.59
69,32.95,17.96,7.35,20.0,21.75
70,34.66,18.41,6.83,17.98,22.13
71,36.03,19.95,6.56,15.72,21.74
72,37.84,21.07,6.13,13.74,21.21
73,39.57,21.36,5.38,13.16,20.53
74,41.15,22.05,5.12,11.63,20.05
75,41.7,22.83,4.53,10.75,20.19
76,13.51,10.08,12.68,44.18,19.54
77,14.74,9.51,13.0,42.48,20.27
78,15.71,11.15,12.65,39.83,20.66
79,17.45,11.47,12.23,37.77,21.08
80,18.22,12.48,12.57,35.82,20.92
81,21.01,13.32,11.78,32.96,20.92
82,22.34,13.51,11.38,31.61,21.16
83,23.55,15.09,11.32,28.75,21.28
84,25.99,15.71,10.57,26.36,21.37
85,27.42,16.88,9.92,24.28,21.5
86,29.22,17.5,9.14,22.33,21.81
87,31.54,18.97,9.12,19.85,20.51
88,32.54,19.48,8.73,18.61,20.63
89,33.96,19.69,7.98,17.49,20.88
90,36.24,21.66,7.42,15.27,19.41
91,37.26,22.8,7.04,13.62,19.28
92,37.96,23.26,6.21,12.77,19.81
93,40.38,23.83,5.62,11.24,18.92
94,41.24,24.96,4.96,10.41,18.43
95,12.31,9.43,14.73,45.01,18.51
96,13.24,9.8,14.8,43.43,18.73
97,14.37,10.49,14.73,41.09,19.31
98,16.03,11.53,14.43,39.18,18.84
99,17.18,12.14,14.01,37.07,19.61
100,18.86,13.35,13.86,34.45,19.47
101,20.1,14.24,13.69,31.54,20.44
102,22.23,14.16,12.82,30.78,20.02
103,23.75,15.86,12.59,27.81,20.0
104,25.85,17.61,11.59,25.26,19.69
105,27.01,17.77,11.41,23.79,20.02
106,28.81,18.62,11.04,21.57,19.97
107,31.06,19.88,9.9,19.73,19.43
108,32.81,21.36,9.66,17.3,18.86
109,33.79,22.2,8.68,16.82,18.51
110,35.46,23.06,8.41,14.23,18.85
111,37.36,23.83,7.57,12.72,18.52
112,37.91,25.12,6.74,12.17,18.06
113,39.46,26.01,6.54,10.8,17.19
114,41.54,26.43,5.66,9.37,16.99
115,41.74,26.54,5.34,9.28,17.11
116,12.42,10.1,16.13,44.21,17.15
117,13.59,10.68,16.39,42.12,17.22
118,14.53,11.59,16.33,39.7,17.85
119,15.75,12.57,16.02,37.79,17.88
120,16.94,13.26,16.07,34.94,18.79
121,19.13,14.21,15.51,32.78,18.38
122,20.23,14.59,14.83,31.27,19.1
123,21.82,15.86,14.59,29.04,18.69
124,23.57,16.79,14.45,26.15,19.05
125,25.61,18.09,13.14,24.53,18.63
126,27.63,19.03,12.85,22.2,18.28
127,29.11,20.13,11.87,20.37,18.52
128,30.66,20.38,11.28,18.8,18.88
129,32.22,21.93,10.45,17.3,18.1
130,33.73,23.45,9.96,15.42,17.43
131,35.3,24.37,9.12,13.6,17.61
132,36.51,25.73,8.58,12.04,17.15
133,37.62,26.23,8.37,11.13,16.65
134,39.12,27.32,6.93,10.58,16.06
135,40.64,27.99,6.6,8.91,15.86
136,41.92,28.81,6.04,7.77,15.46
137,12.03,10.85,18.24,42.21,16.67
138,13.52,11.78,18.54,39.54,16.62
139,15.04,12.8,18.19,37.5,16.46
140,15.37,13.78,18.29,35.25,17.31
141,16.88,14.4,17.84,33.36,17.52
142,18.25,15.6,17.23,31.5,17.43
143,19.83,16.69,17.12,29.1,17.26
144,21.6,17.02,16.37,27.25,17.76
145,23.91,17.95,16.09,24.77,17.28
146,24.67,19.78,14.74,23.09,17.73
147,26.87,20.31,14.05,21.62,17.14
148,28.76,20.92,13.52,19.7,17.11
149,30.28,22.92,12.95,16.74,17.11
150,32.08,24.01,11.63,15.27,17.01
151,33.33,24.3,11.6,14.64,16.12
152,34.02,25.66,10.02,13.97,16.32
153,35.93,27.33,9.63,11.41,15.7
154,37.33,27.99,8.82,10.65,15.21
155,37.86,28.55,8.78,9.62,15.19
156,39.69,30.62,7.37,8.5,13.82
157,39.91,30.98,6.38,8.85,13.88
158,12.18,11.18,21.18,40.78,14.68
159,12.9,11.6,20.3,39.2,16.0
160,15.01,12.75,20.21,36.17,15.86
161,15.49,13.73,20.59,34.42,15.77
162,17.22,15.2,19.6,31.41,16.58
163,17.92,16.75,19.5,29.67,16.17
164,19.67,17.34,18.59,27.88,16.51
165,21.44,17.91,18.14,26.14,16.37
166,23.53,18.84,17.42,23.7,16.5
167,24.14,20.51,16.32,21.7,17.32
168,26.25,21.85,15.66,20.07,16.17
169,27.85,22.66,14.79,18.69,16.02
170,29.58,23.92,14.32,16.92,15.26
171,31.13,25.39,13.04,15.06,15.37
172,31.97,26.88,12.1,13.78,15.27
173,34.4,27.52,11.6,11.92,14.56
174,35.82,27.85,10.89,10.89,14.55
175,36.43,29.99,9.7,9.97,13.91
176,37.78,30.91,9.15,8.83,13.33
177,38.6,31.66,8.37,8.69,12.68
178,40.68,32.54,7.27,6.87,12.64
179,12.37,11.56,23.12,39.66,13.29
180,13.37,12.19,22.81,36.68,14.95
181,13.87,14.26,23.12,34.01,14.74
182,15.0,14.81,22.31,32.58,15.3
183,16.55,16.01,21.98,30.6,14.86
184,17.7,17.03,20.7,28.55,16.03
185,19.31,18.84,20.46,26.02,15.37
186,21.35,18.56,19.95,24.63,15.52
187,21.68,20.35,19.43,22.52,16.01
188,24.17,21.98,18.58,20.39,14.88
189,25.42,22.3,17.35,19.5,15.43
190,27.55,24.03,16.42,17.27,14.73
191,28.97,25.72,15.49,15.88,13.94
192,30.2,27.04,14.48,14.48,13.79
193,32.39,27.86,13.54,12.75,13.46
194,32.72,29.38,13.2,11.57,13.13
195,34.45,29.89,11.86,10.42,13.38
196,35.53,31.93,10.46,9.31,12.77
197,36.31,32.41,10.07,8.77,12.43
198,37.72,32.93,9.21,8.16,11.98
199,38.83,34.09,8.12,7.11,11.84
200,11.52,13.71,25.81,36.87,12.1
201,12.42,14.15,25.31,34.46,13.67
202,13.66,14.38,25.16,32.97,13.84
203,14.75,15.9,24.52,30.94,13.89
204,16.47,16.72,24.04,28.37,14.39
205,17.54,18.27,23.51,26.63,14.05
206,18.38,19.6,22.74,24.91,14.37
207,20.23,20.68,22.2,22.65,14.23
208,22.0,21.48,21.31,20.79,14.41
209,23.29,22.78,19.94,19.51,14.48
210,24.77,24.08,19.34,17.05,14.76
211,27.4,25.86,18.49,15.5,12.76
212,28.48,26.72,16.58,14.17,14.04
213,29.17,28.52,15.8,13.2,13.31
214,30.78,29.02,15.12,11.8,13.29
215,31.87,30.12,14.57,10.93,12.52
216,33.4,31.38,12.85,9.85,12.52
217,34.62,32.5,12.04,9.61,11.23
218,35.97,34.05,11.07,8.07,10.84
219,36.49,34.5,9.91,7.56,11.55
220,38.07,35.37,9.36,6.5,10.71
221,11.65,13.59,27.83,34.41,12.51
222,12.29,14.2,27.45,33.41,12.65
223,14.03,15.36,27.39,30.9,12.32
224,14.46,16.39,27.31,29.32,12.53
225,15.57,17.03,27.69,27.05,12.66
226,16.99,18.65,25.98,25.73,12.66
227,18.99,19.7,24.93,23.16,13.22
228,19.64,21.36,24.18,21.52,13.3
229,20.29,22.68,23.36,20.72,12.96
230,22.69,23.71,22.14,18.36,13.1
231,24.19,26.11,20.28,16.9,12.52
232,25.22,27.22,19.71,15.51,12.34
233,27.83,27.35,19.05,13.6,12.17
234,28.56,29.62,17.71,12.28,11.83
235,30.17,30.3,16.61,11.23,11.69
236,31.11,30.96,15.79,10.6,11.53
237,32.1,33.06,13.94,9.56,11.34
238,33.28,34.51,12.61,8.92,10.68
239,35.15,35.36,12.31,7.14,10.04
240,35.69,35.9,10.94,7.29,10.17
241,36.4,37.27,9.79,6.89,9.64
242,12.5,14.46,30.68,30.79,11.57
243,12.99,17.09,29.38,28.95,11.6
244,14.3,17.4,28.96,27.32,12.02
245,15.38,18.02,28.92,25.56,12.12
246,16.59,20.15,27.83,23.14,12.3
247,17.66,21.53,27.17,22.04,11.61
248,18.64,22.75,26.51,19.86,12.25
249,20.78,24.23,24.38,18.75,11.85
250,22.03,25.6,23.91,16.66,11.8
251,23.36,26.64,22.88,15.2,11.92
252,24.41,28.04,21.41,14.77,11.37
253,25.89,29.54,20.39,13.32,10.86
254,27.43,30.8,19.2,12.07,10.5
255,29.24,31.81,18.0,10.43,10.51
256,29.9,32.48,16.86,9.88,10.88
257,30.56,34.51,15.21,8.89,10.83
258,32.35,35.52,14.52,8.03,9.58
259,33.31,36.26,13.45,7.3,9.68
260,34.9,37.93,12.35,6.29,8.53
261,11.99,14.39,32.86,29.66,11.1
262,12.91,16.3,32.28,27.13,11.38
263,13.39,18.09,31.48,25.74,11.3
264,14.56,18.6,30.28,24.44,12.11
265,15.52,20.82,30.27,22.2,11.19
266,16.59,22.71,28.91,20.61,11.18
267,18.25,24.59,28.11,19.11,9.94
268,19.68,25.4,26.98,17.14,10.81
269,20.75,26.44,26.09,15.59,11.12
270,21.91,28.54,24.66,14.61,10.28
271,23.62,29.42,23.04,12.9,11.01
272,24.6,30.81,21.8,12.41,10.37
273,26.73,31.95,20.87,10.58,9.86
274,28.04,33.22,19.37,10.07,9.3
275,28.89,34.15,18.22,9.22,9.53
276,29.75,35.12,16.69,8.71,9.72
277,30.86,36.89,15.76,7.88,8.61
278,32.43,37.84,14.58,6.54,8.61
279,33.36,38.8,13.39,5.76,8.69
280,11.92,17.25,35.08,25.58,10.17
281,13.22,18.55,33.5,24.28,10.45
282,14.59,20.1,32.7,22.25,10.37
283,15.14,21.11,32.05,21.04,10.66
284,16.3,22.66,31.3,19.07,10.68
285,17.66,24.38,29.85,17.66,10.45
286,18.68,25.76,28.58,16.51,10.47
287,20.49,27.01,27.48,15.04,9.98
288,21.57,28.4,26.55,13.58,9.9
289,22.87,30.52,24.98,12.05,9.59
290,24.01,31.82,23.59,11.34,9.24
291,25.32,33.84,22.28,9.58,8.97
292,26.06,34.23,21.11,9.5,9.1
293,27.13,35.37,19.66,8.99,8.84
294,28.42,37.12,18.92,6.84,8.7
295,29.87,37.68,17.36,7.05,8.04
296,30.9,39.61,15.94,5.68,7.87
297,13.23,18.93,36.6,21.89,9.35
298,13.76,20.59,35.96,20.21,9.49
299,14.66,22.33,34.34,19.11,9.56
300,15.0,24.38,33.04,17.95,9.64
301,16.79,25.42,32.15,15.96,9.68
302,17.87,27.4,30.58,15.25,8.9
303,18.6,28.44,29.69,14.1,9.17
304,20.26,30.68,27.73,12.28,9.05
305,21.32,31.81,25.8,11.95,9.11
306,22.27,33.13,25.14,11.09,8.38
307,23.72,34.89,24.05,9.46,7.88
308,25.45,35.95,21.94,8.51,8.15
309,26.01,37.36,21.39,7.29,7.94
310,27.3,38.73,19.47,7.01,7.49
311,28.27,38.94,18.73,6.16,7.89
312,13.09,21.36,37.73,19.18,8.64
313,14.26,23.1,35.9,17.99,8.75
314,14.93,24.11,35.54,16.95,8.48
315,15.78,26.47,34.14,15.17,8.45
316,16.52,27.48,32.74,14.3,8.96
317,17.46,29.16,31.41,13.32,8.64
318,19.18,31.29,29.69,12.2,7.65
319,20.0,33.64,27.5,10.57,8.29
320,21.41,34.27,26.22,10.04,8.05
321,22.05,35.72,25.39,9.11,7.73
322,23.1,36.41,24.23,8.1,8.16
323,24.09,38.15,22.38,7.57,7.82
324,25.48,39.73,20.94,6.53,7.32
325,12.99,23.68,38.46,16.58,8.29
326,14.03,25.04,37.48,15.01,8.44
327,14.16,27.64,35.95,14.24,8.01
328,16.19,29.24,34.66,12.71,7.2
329,16.54,30.22,32.55,12.9,7.79
330,18.0,32.61,31.22,10.61,7.57
331,18.75,33.94,29.97,10.35,6.99
332,19.95,35.4,28.18,9.39,7.07
333,21.04,36.54,26.58,8.66,7.19
334,22.16,37.81,25.72,7.41,6.89
335,23.43,39.51,23.43,6.92,6.71
336,13.87,28.26,36.6,13.96,7.32
337,15.67,29.24,36.57,11.55,6.97
338,15.57,31.77,34.75,10.67,7.24
339,16.7,32.96,32.22,11.09,7.02
340,17.21,35.06,30.52,10.55,6.66
341,18.75,36.89,29.36,8.69,6.3
342,19.89,37.06,28.04,8.39,6.63
